model,balanced,fold,n_test,n_positive,operating_point,threshold,accuracy,precision,recall,f1,f2,referral_rate,auprc,auroc,tp,fp,fn,tn
LR,False,1,1008,108,inner_f2,0.47,0.7847222222222222,0.28627450980392155,0.6759259259259259,0.4022038567493113,0.5312954876273653,0.25297619047619047,0.3855300848916435,0.7764197530864198,73,182,35,718
LR,False,1,1008,108,default_0.5,0.5,0.7936507936507936,0.29338842975206614,0.6574074074074074,0.4057142857142857,0.526706231454006,0.2400793650793651,0.3855300848916435,0.7764197530864198,71,171,37,729
LR,False,2,1008,108,inner_f2,0.55,0.7986111111111112,0.30612244897959184,0.6944444444444444,0.42492917847025496,0.5539143279172821,0.24305555555555555,0.43230043166857646,0.8247325102880658,75,170,33,730
LR,False,2,1008,108,default_0.5,0.5,0.7787698412698413,0.2893772893772894,0.7314814814814815,0.4146981627296588,0.5602836879432624,0.2708333333333333,0.43230043166857646,0.8247325102880658,79,194,29,706
LR,False,3,1008,108,inner_f2,0.5,0.7748015873015873,0.28975265017667845,0.7592592592592593,0.4194373401534527,0.5734265734265734,0.28075396825396826,0.3817455641466044,0.8420781893004115,82,201,26,699
LR,False,3,1008,108,default_0.5,0.5,0.7748015873015873,0.28975265017667845,0.7592592592592593,0.4194373401534527,0.5734265734265734,0.28075396825396826,0.3817455641466044,0.8420781893004115,82,201,26,699
LR,False,4,1008,108,inner_f2,0.51,0.7619047619047619,0.2708333333333333,0.7222222222222222,0.3939393939393939,0.5416666666666666,0.2857142857142857,0.3601471437173172,0.8150514403292181,78,210,30,690
LR,False,4,1008,108,default_0.5,0.5,0.7569444444444444,0.26621160409556316,0.7222222222222222,0.38902743142144636,0.5379310344827586,0.2906746031746032,0.3601471437173172,0.8150514403292181,78,215,30,685
LR,False,5,1007,108,inner_f2,0.5,0.7825223435948362,0.2823529411764706,0.6666666666666666,0.39669421487603307,0.5240174672489083,0.253227408142999,0.38034183330469057,0.8113850780702839,72,183,36,716
LR,False,5,1007,108,default_0.5,0.5,0.7825223435948362,0.2823529411764706,0.6666666666666666,0.39669421487603307,0.5240174672489083,0.253227408142999,0.38034183330469057,0.8113850780702839,72,183,36,716
LR,True,1,1008,108,inner_f2,0.43,0.7410714285714286,0.24414715719063546,0.6759259259259259,0.35872235872235875,0.4993160054719562,0.29662698412698413,0.37388580850052056,0.7749382716049383,73,226,35,674
LR,True,1,1008,108,default_0.5,0.5,0.7748015873015873,0.2591093117408907,0.5925925925925926,0.36056338028169016,0.47128129602356406,0.24503968253968253,0.37388580850052056,0.7749382716049383,64,183,44,717
LR,True,2,1008,108,inner_f2,0.45,0.75,0.2692307692307692,0.7777777777777778,0.4,0.5645161290322581,0.30952380952380953,0.43061930830779804,0.8243621399176955,84,228,24,672
LR,True,2,1008,108,default_0.5,0.5,0.7708333333333334,0.28113879003558717,0.7314814814814815,0.40616966580976865,0.5539971949509116,0.2787698412698413,0.43061930830779804,0.8243621399176955,79,202,29,698
LR,True,3,1008,108,inner_f2,0.49,0.7628968253968254,0.2838283828382838,0.7962962962962963,0.41849148418491483,0.5850340136054422,0.3005952380952381,0.37777183640077705,0.8405761316872428,86,217,22,683
LR,True,3,1008,108,default_0.5,0.5,0.7698412698412699,0.2891156462585034,0.7870370370370371,0.4228855721393035,0.5853994490358126,0.2916666666666667,0.37777183640077705,0.8405761316872428,85,209,23,691
LR,True,4,1008,108,inner_f2,0.53,0.7698412698412699,0.28321678321678323,0.75,0.41116751269035534,0.564066852367688,0.2837301587301587,0.3555935279698349,0.8178600823045269,81,205,27,695
LR,True,4,1008,108,default_0.5,0.5,0.7589285714285714,0.2727272727272727,0.75,0.4,0.5555555555555556,0.29464285714285715,0.3555935279698349,0.8178600823045269,81,216,27,684
LR,True,5,1007,108,inner_f2,0.34,0.6792452830188679,0.21485411140583555,0.75,0.334020618556701,0.5006180469715699,0.3743793445878848,0.35214850094860617,0.7993964487290405,81,296,27,603
LR,True,5,1007,108,default_0.5,0.5,0.7845084409136047,0.2845849802371542,0.6666666666666666,0.3988919667590028,0.5255474452554745,0.2512413108242304,0.35214850094860617,0.7993964487290405,72,181,36,718
DT,False,1,1008,108,inner_f2,0.25,0.8333333333333334,0.27611940298507465,0.3425925925925926,0.30578512396694213,0.32685512367491165,0.13293650793650794,0.18758274060439414,0.6219238683127571,37,97,71,803
DT,False,1,1008,108,default_0.5,0.5,0.8402777777777778,0.288,0.3333333333333333,0.3090128755364807,0.3231597845601436,0.12400793650793651,0.18758274060439414,0.6219238683127571,36,89,72,811
DT,False,2,1008,108,inner_f2,0.25,0.8412698412698413,0.32666666666666666,0.4537037037037037,0.3798449612403101,0.4209621993127148,0.1488095238095238,0.23025547263269847,0.6749691358024691,49,101,59,799
DT,False,2,1008,108,default_0.5,0.5,0.8492063492063492,0.34057971014492755,0.4351851851851852,0.3821138211382114,0.41228070175438597,0.13690476190476192,0.23025547263269847,0.6749691358024691,47,91,61,809
DT,False,3,1008,108,inner_f2,0.25,0.8025793650793651,0.18620689655172415,0.25,0.2134387351778656,0.2339688041594454,0.14384920634920634,0.1387168225874633,0.5627829218106996,27,118,81,782
DT,False,3,1008,108,default_0.5,0.5,0.8065476190476191,0.18248175182481752,0.23148148148148148,0.20408163265306123,0.21968365553602812,0.1359126984126984,0.1387168225874633,0.5627829218106996,25,112,83,788
DT,False,4,1008,108,inner_f2,0.25,0.8253968253968254,0.234375,0.2777777777777778,0.2542372881355932,0.26785714285714285,0.12698412698412698,0.14666742814379108,0.5856378600823045,30,98,78,802
DT,False,4,1008,108,default_0.5,0.5,0.8313492063492064,0.2459016393442623,0.2777777777777778,0.2608695652173913,0.27075812274368233,0.12103174603174603,0.14666742814379108,0.5856378600823045,30,92,78,808
DT,False,5,1007,108,inner_f2,0.25,0.8152929493545183,0.25925925925925924,0.3888888888888889,0.3111111111111111,0.35353535353535354,0.1608738828202582,0.1761602197087715,0.6308295225147282,42,120,66,779
DT,False,5,1007,108,default_0.5,0.5,0.8351539225422046,0.2867647058823529,0.3611111111111111,0.319672131147541,0.34330985915492956,0.13505461767626614,0.1761602197087715,0.6308295225147282,39,97,69,802
DT,True,1,1008,108,inner_f2,0.8,0.8095238095238095,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.39215686274509803,0.17857142857142858,0.18727113794580857,0.6555555555555554,48,132,60,768
DT,True,1,1008,108,default_0.5,0.5,0.810515873015873,0.27071823204419887,0.4537037037037037,0.3391003460207612,0.399673735725938,0.17956349206349206,0.18727113794580857,0.6555555555555554,49,132,59,768
DT,True,2,1008,108,inner_f2,0.66,0.8234126984126984,0.2865853658536585,0.4351851851851852,0.34558823529411764,0.39429530201342283,0.1626984126984127,0.19466386365440508,0.6553652263374485,47,117,61,783
DT,True,2,1008,108,default_0.5,0.5,0.8234126984126984,0.2865853658536585,0.4351851851851852,0.34558823529411764,0.39429530201342283,0.1626984126984127,0.19466386365440508,0.6553652263374485,47,117,61,783
DT,True,3,1008,108,inner_f2,0.8,0.8244047619047619,0.271523178807947,0.37962962962962965,0.3166023166023166,0.3516295025728988,0.1498015873015873,0.16796307101939698,0.6278703703703704,41,110,67,790
DT,True,3,1008,108,default_0.5,0.5,0.8234126984126984,0.26973684210526316,0.37962962962962965,0.3153846153846154,0.351027397260274,0.15079365079365079,0.16796307101939698,0.6278703703703704,41,111,67,789
DT,True,4,1008,108,inner_f2,0.5,0.8214285714285714,0.2777777777777778,0.4166666666666667,0.3333333333333333,0.3787878787878788,0.16071428571428573,0.17360320719928612,0.6418261316872428,45,117,63,783
DT,True,4,1008,108,default_0.5,0.5,0.8214285714285714,0.2777777777777778,0.4166666666666667,0.3333333333333333,0.3787878787878788,0.16071428571428573,0.17360320719928612,0.6418261316872428,45,117,63,783
DT,True,5,1007,108,inner_f2,0.83,0.8331678252234359,0.32558139534883723,0.5185185185185185,0.4,0.46357615894039733,0.1708043694141013,0.22663805103025847,0.6962159601202984,56,116,52,783
DT,True,5,1007,108,default_0.5,0.5,0.8321747765640516,0.3236994219653179,0.5185185185185185,0.398576512455516,0.4628099173553719,0.1717974180734856,0.22663805103025847,0.6962159601202984,56,117,52,782
RF,False,1,1008,108,inner_f2,0.25,0.7926587301587301,0.305019305019305,0.7314814814814815,0.4305177111716621,0.5716353111432706,0.2569444444444444,0.460831732325689,0.8526800411522634,79,180,29,720
RF,False,1,1008,108,default_0.5,0.5,0.9017857142857143,0.6216216216216216,0.21296296296296297,0.31724137931034485,0.24520255863539445,0.03670634920634921,0.460831732325689,0.8526800411522634,23,14,85,886
RF,False,2,1008,108,inner_f2,0.26,0.7976190476190477,0.31954887218045114,0.7870370370370371,0.45454545454545453,0.6088825214899714,0.2638888888888889,0.48845493466706996,0.8672119341563786,85,181,23,719
RF,False,2,1008,108,default_0.5,0.5,0.9037698412698413,0.6037735849056604,0.2962962962962963,0.39751552795031053,0.32989690721649484,0.05257936507936508,0.48845493466706996,0.8672119341563786,32,21,76,879
RF,False,3,1008,108,inner_f2,0.25,0.7837301587301587,0.302158273381295,0.7777777777777778,0.43523316062176165,0.5915492957746479,0.2757936507936508,0.4734701212463055,0.8374279835390948,84,194,24,706
RF,False,3,1008,108,default_0.5,0.5,0.8998015873015873,0.574468085106383,0.25,0.34838709677419355,0.2818371607515658,0.04662698412698413,0.4734701212463055,0.8374279835390948,27,20,81,880
RF,False,4,1008,108,inner_f2,0.23,0.7599206349206349,0.28662420382165604,0.8333333333333334,0.4265402843601896,0.6032171581769437,0.3115079365079365,0.4602286726922945,0.853940329218107,90,224,18,676
RF,False,4,1008,108,default_0.5,0.5,0.8988095238095238,0.5555555555555556,0.2777777777777778,0.37037037037037035,0.30864197530864196,0.05357142857142857,0.4602286726922945,0.853940329218107,30,24,78,876
RF,False,5,1007,108,inner_f2,0.26,0.7994041708043694,0.31496062992125984,0.7407407407407407,0.4419889502762431,0.5830903790087464,0.2522343594836147,0.4353561646304907,0.8467638940386438,80,174,28,725
RF,False,5,1007,108,default_0.5,0.5,0.9046673286991063,0.6071428571428571,0.3148148148148148,0.4146341463414634,0.3483606557377049,0.05561072492552135,0.4353561646304907,0.8467638940386438,34,22,74,877
RF,True,1,1008,108,inner_f2,0.21,0.7470238095238095,0.2621359223300971,0.75,0.38848920863309355,0.5465587044534413,0.30654761904761907,0.4361740404723568,0.8438374485596708,81,228,27,672
RF,True,1,1008,108,default_0.5,0.5,0.9017857142857143,0.6153846153846154,0.2222222222222222,0.32653061224489793,0.25477707006369427,0.03869047619047619,0.4361740404723568,0.8438374485596708,24,15,84,885
RF,True,2,1008,108,inner_f2,0.22,0.7688492063492064,0.2895622895622896,0.7962962962962963,0.4246913580246914,0.5898491083676269,0.29464285714285715,0.49857332400758153,0.8651131687242798,86,211,22,689
RF,True,2,1008,108,default_0.5,0.5,0.9027777777777778,0.6086956521739131,0.25925925925925924,0.36363636363636365,0.2928870292887029,0.04563492063492063,0.49857332400758153,0.8651131687242798,28,18,80,882
RF,True,3,1008,108,inner_f2,0.22,0.7569444444444444,0.2797427652733119,0.8055555555555556,0.4152744630071599,0.585464333781965,0.30853174603174605,0.47389945462945154,0.8353343621399177,87,224,21,676
RF,True,3,1008,108,default_0.5,0.5,0.9007936507936508,0.5909090909090909,0.24074074074074073,0.34210526315789475,0.27310924369747897,0.04365079365079365,0.47389945462945154,0.8353343621399177,26,18,82,882
RF,True,4,1008,108,inner_f2,0.22,0.7678571428571429,0.2913907284768212,0.8148148148148148,0.4292682926829268,0.5994550408719346,0.2996031746031746,0.44329790077227005,0.8487602880658436,88,214,20,686
RF,True,4,1008,108,default_0.5,0.5,0.8988095238095238,0.5555555555555556,0.2777777777777778,0.37037037037037035,0.30864197530864196,0.05357142857142857,0.44329790077227005,0.8487602880658436,30,24,78,876
RF,True,5,1007,108,inner_f2,0.21,0.7517378351539226,0.2724358974358974,0.7870370370370371,0.40476190476190477,0.571236559139785,0.3098311817279047,0.4283666272703455,0.8490915832406378,85,227,23,672
RF,True,5,1007,108,default_0.5,0.5,0.8967229394240318,0.54,0.25,0.34177215189873417,0.2800829875518672,0.04965243296921549,0.4283666272703455,0.8490915832406378,27,23,81,876
NN,False,1,1008,108,inner_f2,0.06,0.2916666666666667,0.12030075187969924,0.8888888888888888,0.2119205298013245,0.3902439024390244,0.7916666666666666,0.15958219872999746,0.5975,96,702,12,198
NN,False,1,1008,108,default_0.5,0.5,0.8938492063492064,1.0,0.009259259259259259,0.01834862385321101,0.011547344110854504,0.000992063492063492,0.15958219872999746,0.5975,1,0,107,900
NN,False,2,1008,108,inner_f2,0.09,0.376984126984127,0.12318840579710146,0.7870370370370371,0.21303258145363407,0.3787878787878788,0.6845238095238095,0.11985929273426464,0.5770576131687243,85,605,23,295
NN,False,2,1008,108,default_0.5,0.5,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.11985929273426464,0.5770576131687243,0,0,108,900
NN,False,3,1008,108,inner_f2,0.09,0.35615079365079366,0.12586445366528354,0.8425925925925926,0.2190132370637786,0.3939393939393939,0.7172619047619048,0.14077703028082092,0.6177263374485596,91,632,17,268
NN,False,3,1008,108,default_0.5,0.5,0.8918650793650794,0.0,0.0,0.0,0.0,0.000992063492063492,0.14077703028082092,0.6177263374485596,0,1,108,899
NN,False,4,1008,108,inner_f2,0.09,0.373015873015873,0.12247838616714697,0.7870370370370371,0.2119700748129676,0.3774422735346359,0.6884920634920635,0.13066350336120075,0.5761522633744856,85,609,23,291
NN,False,4,1008,108,default_0.5,0.5,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.13066350336120075,0.5761522633744856,0,0,108,900
NN,False,5,1007,108,inner_f2,0.08,0.31479642502482624,0.12596401028277635,0.9074074074074074,0.22121896162528218,0.4049586776859504,0.7725918570009931,0.12970655922832458,0.5913360524039056,98,680,10,219
NN,False,5,1007,108,default_0.5,0.5,0.8927507447864945,0.0,0.0,0.0,0.0,0.0,0.12970655922832458,0.5913360524039056,0,0,108,899
NN,True,1,1008,108,inner_f2,0.27,0.7648809523809523,0.25475285171102663,0.6203703703703703,0.3611859838274933,0.48201438848920863,0.26091269841269843,0.3796064256265531,0.7638888888888888,67,196,41,704
NN,True,1,1008,108,default_0.5,0.5,0.8363095238095238,0.32515337423312884,0.49074074074074076,0.39114391143911437,0.44537815126050423,0.16170634920634921,0.3796064256265531,0.7638888888888888,53,110,55,790
NN,True,2,1008,108,inner_f2,0.55,0.8432539682539683,0.3670212765957447,0.6388888888888888,0.46621621621621623,0.5564516129032258,0.1865079365079365,0.523690978196544,0.8446707818930042,69,119,39,781
NN,True,2,1008,108,default_0.5,0.5,0.8263888888888888,0.34418604651162793,0.6851851851851852,0.4582043343653251,0.5718701700154559,0.21329365079365079,0.523690978196544,0.8446707818930042,74,141,34,759
NN,True,3,1008,108,inner_f2,0.3,0.7708333333333334,0.27956989247311825,0.7222222222222222,0.40310077519379844,0.5485232067510548,0.2767857142857143,0.38820762608200454,0.8391358024691358,78,201,30,699
NN,True,3,1008,108,default_0.5,0.5,0.8353174603174603,0.34574468085106386,0.6018518518518519,0.4391891891891892,0.5241935483870968,0.1865079365079365,0.38820762608200454,0.8391358024691358,65,123,43,777
NN,True,4,1008,108,inner_f2,0.45,0.7896825396825397,0.2952755905511811,0.6944444444444444,0.4143646408839779,0.5466472303206997,0.251984126984127,0.4041298973817265,0.8186419753086419,75,179,33,721
NN,True,4,1008,108,default_0.5,0.5,0.8115079365079365,0.3232758620689655,0.6944444444444444,0.4411764705882353,0.5647590361445783,0.23015873015873015,0.4041298973817265,0.8186419753086419,75,157,33,743
NN,True,5,1007,108,inner_f2,0.3,0.7815292949354519,0.28125,0.6666666666666666,0.3956043956043956,0.5232558139534884,0.2542204568023833,0.3653766284489746,0.8084394182836897,72,184,36,715
NN,True,5,1007,108,default_0.5,0.5,0.8411122144985105,0.34523809523809523,0.5370370370370371,0.42028985507246375,0.48333333333333334,0.16683217477656406,0.3653766284489746,0.8084394182836897,58,110,50,789
