model,balanced,operating_point,threshold_mean,threshold_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,referral_rate_mean,referral_rate_std,auprc_mean,auprc_std,auroc_mean,auroc_std
LR,False,default_0.5,0.5,0.0,0.7773378020523005,0.013391838204695788,0.2842165829156135,0.01082885184514387,0.7074074074074075,0.043724885011546685,0.40511428697897534,0.012520433908948277,0.5444729989111018,0.021593815462614994,0.26711373559685375,0.020485928797043976,0.3880130115457664,0.02665602637418156,0.8139333942148799,0.024102736418144467
LR,True,default_0.5,0.5,0.0,0.7717826405636734,0.00923251363094089,0.2773352001998816,0.011823932523484081,0.7055555555555555,0.07674579920408191,0.397702116997953,0.022868578712732412,0.5383561881642637,0.04305993722701869,0.27227207168865564,0.022927708602403632,0.3780037964255073,0.03144884798006144,0.8114266148486887,0.02517208639434492
NN,True,default_0.5,0.5,0.0,0.8301272048044639,0.01168848168424286,0.3367196117805763,0.011448540704480285,0.6018518518518519,0.08953277595284126,0.4300007521308656,0.025538802339244982,0.5179068478281936,0.053857288331691545,0.19169976828864616,0.029539571012170043,0.41220231114716055,0.06388616432540069,0.8149553733686721,0.03213850181988784
DT,True,default_0.5,0.5,0.0,0.8221889235667785,0.007738713626440589,0.28570352794924325,0.022286639866481793,0.44074074074074077,0.05138680342782075,0.34639660849766873,0.031261094691651184,0.3973188462285771,0.04120091844660109,0.16511345186866538,0.010996827334906296,0.19002786616983106,0.023054404492537265,0.655366648814183,0.025534745222387387
DT,False,default_0.5,0.5,0.0,0.8325069749846314,0.015980373866849584,0.2687455614392721,0.058776818382967576,0.3277777777777778,0.07818456234290573,0.2951500051385371,0.0667548053724178,0.3138384247498339,0.07308790611841048,0.1305823521066818,0.007463639085349706,0.1758765367354237,0.03649726268724511,0.6152286617045917,0.043253057893777244
RF,False,default_0.5,0.5,0.0,0.9017667990731546,0.002501656562659325,0.5925123408664155,0.026831031457803287,0.27037037037037037,0.040040274648962294,0.36962970414933655,0.03872774367318804,0.30278785152996035,0.040623421663598266,0.049018970381929663,0.0076513847176315755,0.46366832511236994,0.019569792533573563,0.8516048364208976,0.010892772515819918
RF,True,default_0.5,0.5,0.0,0.9001779212181397,0.00242553016135223,0.5821089828046351,0.03305227505752242,0.25,0.02070433312499806,0.34888295226165217,0.017857071006910634,0.2818996611820771,0.02032289542831913,0.04624001040336691,0.0056890237293886585,0.4560622694304011,0.02937207130113296,0.84842737014607,0.01085658931694653
NN,False,default_0.5,0.5,0.0,0.8928358632430132,0.0007031067458289256,0.2,0.447213595499958,0.0018518518518518517,0.00414086662499961,0.003669724770642202,0.008205754045870787,0.0023094688221709007,0.005164129278290508,0.0003968253968253968,0.0005433755530805219,0.13611771686692167,0.015062194835928206,0.5919544532791351,0.017080329130140976
RF,False,inner_f2,0.25,0.012247448713915898,0.7866665484465882,0.016140607005531316,0.3056622568647934,0.01279097902257524,0.774074074074074,0.04067756043794223,0.4377651121950622,0.01100401128928055,0.591674933118716,0.015038457864566071,0.2720738560237071,0.023761218305593593,0.46366832511236994,0.019569792533573563,0.8516048364208976,0.010892772515819918
RF,True,inner_f2,0.21600000000000003,0.005477225575051664,0.7584824876657053,0.009676133466368723,0.2790535206156834,0.01217696646421285,0.7907407407407407,0.025017140900196813,0.4124970454219553,0.01638519660620439,0.5785127493229506,0.020551283812133697,0.3038313157106603,0.006476412767182261,0.4560622694304011,0.02937207130113296,0.84842737014607,0.01085658931694653
LR,False,inner_f2,0.506,0.028809720581775895,0.7805124052269037,0.013492436746564463,0.2870671766939991,0.012813129762827646,0.7037037037037037,0.03761128891035171,0.40744079683768925,0.013919078536519592,0.5448641045773591,0.019536084768302327,0.2631454816285998,0.01887324503710532,0.3880130115457664,0.02665602637418156,0.8139333942148799,0.024102736418144467
LR,True,inner_f2,0.44800000000000006,0.07155417527999326,0.7406109613656783,0.036073477877387856,0.2590554407764615,0.0294831344741189,0.75,0.045830995076905856,0.384480394830866,0.03646738285477561,0.5427102094897829,0.03993030116568244,0.31297110701281505,0.03556044517049486,0.3780037964255073,0.03144884798006144,0.8114266148486887,0.02517208639434492
NN,True,inner_f2,0.374,0.12095453691366853,0.7900360177172491,0.031249639750554312,0.29557392226621415,0.04252198537956608,0.6685185185185185,0.0410969278169855,0.4080944023451763,0.03807491775216039,0.5313784504835355,0.030242890154925726,0.2460821865985719,0.0346871961579144,0.41220231114716055,0.06388616432540069,0.8149553733686721,0.03213850181988784
DT,True,inner_f2,0.718,0.13863621460498693,0.8223875332986553,0.008481300990526765,0.28562687689097743,0.02354407820741347,0.43888888888888894,0.05096799609082548,0.34577144371262014,0.03201960742392788,0.39608914101193915,0.041379860392080824,0.1645180167399631,0.010855519771605128,0.19002786616983106,0.023054404492537265,0.655366648814183,0.025534745222387387
NN,False,inner_f2,0.08199999999999999,0.013038404810405297,0.3425227770684573,0.03761060667312959,0.1235592015584015,0.002398980929077969,0.8425925925925926,0.055940027655530404,0.2154310769513974,0.004369975337940034,0.3890744252773767,0.011384913969152937,0.7309072602890876,0.04890291458103105,0.13611771686692167,0.015062194835928206,0.5919544532791351,0.017080329130140976
DT,False,inner_f2,0.25,0.0,0.8235744628867767,0.015174489875761017,0.25652544509254493,0.051832731879546956,0.3425925925925926,0.08255812268577319,0.29288344392636445,0.06298014329522712,0.3206357247079136,0.07328574524874334,0.14269064957992467,0.013334644520475697,0.1758765367354237,0.03649726268724511,0.6152286617045917,0.043253057893777244
